Direction: DOWN
Pixel: 0
GaAs 0, V:8, I:255
GaAs 1, V:100, I:187
GaAs 2, V:110, I:84
GaAs 3, V:111, I:58
GaAs 4, V:111, I:53
GaAs 5, V:111, I:41
GaAs 6, V:112, I:33
GaAs 7, V:111, I:27
GaAs 8, V:111, I:0
GaAs 9, V:112, I:0
GaAs 10, V:112, I:0
GaAs 11, V:112, I:0
GaAs 12, V:112, I:0
GaAs 13, V:112, I:0
GaAs 14, V:111, I:0
GaAs 15, V:112, I:0

Direction: UP
Pixel: 0
GaAs 0, V:112, I:0
GaAs 1, V:112, I:0
GaAs 2, V:112, I:0
GaAs 3, V:112, I:0
GaAs 4, V:112, I:0
GaAs 5, V:112, I:0
GaAs 6, V:112, I:0
GaAs 7, V:112, I:0
GaAs 8, V:111, I:27
GaAs 9, V:111, I:32
GaAs 10, V:111, I:42
GaAs 11, V:111, I:53
GaAs 12, V:111, I:58
GaAs 13, V:111, I:84
GaAs 14, V:110, I:188
GaAs 15, V:17, I:255

Direction: DOWN
Pixel: 1
GaAs 0, V:8, I:255
GaAs 1, V:100, I:188
GaAs 2, V:110, I:84
GaAs 3, V:111, I:58
GaAs 4, V:111, I:52
GaAs 5, V:111, I:40
GaAs 6, V:111, I:32
GaAs 7, V:111, I:27
GaAs 8, V:111, I:0
GaAs 9, V:112, I:0
GaAs 10, V:111, I:0
GaAs 11, V:112, I:0
GaAs 12, V:112, I:0
GaAs 13, V:112, I:0
GaAs 14, V:111, I:0
GaAs 15, V:112, I:0

Direction: UP
Pixel: 1
GaAs 0, V:112, I:0
GaAs 1, V:112, I:0
GaAs 2, V:112, I:0
GaAs 3, V:112, I:0
GaAs 4, V:112, I:0
GaAs 5, V:112, I:0
GaAs 6, V:112, I:0
GaAs 7, V:112, I:0
GaAs 8, V:111, I:28
GaAs 9, V:111, I:32
GaAs 10, V:111, I:41
GaAs 11, V:111, I:53
GaAs 12, V:111, I:58
GaAs 13, V:111, I:84
GaAs 14, V:110, I:188
GaAs 15, V:17, I:255

Direction: DOWN
Pixel: 2
GaAs 0, V:8, I:255
GaAs 1, V:100, I:187
GaAs 2, V:110, I:83
GaAs 3, V:111, I:58
GaAs 4, V:111, I:53
GaAs 5, V:111, I:41
GaAs 6, V:111, I:33
GaAs 7, V:111, I:28
GaAs 8, V:111, I:0
GaAs 9, V:112, I:0
GaAs 10, V:111, I:0
GaAs 11, V:112, I:0
GaAs 12, V:112, I:0
GaAs 13, V:112, I:0
GaAs 14, V:111, I:0
GaAs 15, V:112, I:0

Direction: UP
Pixel: 2
GaAs 0, V:112, I:0
GaAs 1, V:112, I:0
GaAs 2, V:112, I:0
GaAs 3, V:112, I:0
GaAs 4, V:112, I:0
GaAs 5, V:112, I:0
GaAs 6, V:112, I:0
GaAs 7, V:112, I:0
GaAs 8, V:111, I:28
GaAs 9, V:111, I:33
GaAs 10, V:111, I:41
GaAs 11, V:111, I:54
GaAs 12, V:111, I:58
GaAs 13, V:111, I:84
GaAs 14, V:110, I:188
GaAs 15, V:17, I:255

Direction: DOWN
Pixel: 3
GaAs 0, V:8, I:255
GaAs 1, V:100, I:187
GaAs 2, V:110, I:84
GaAs 3, V:111, I:58
GaAs 4, V:111, I:52
GaAs 5, V:111, I:41
GaAs 6, V:112, I:32
GaAs 7, V:111, I:28
GaAs 8, V:111, I:0
GaAs 9, V:111, I:0
GaAs 10, V:112, I:0
GaAs 11, V:112, I:0
GaAs 12, V:111, I:0
GaAs 13, V:112, I:0
GaAs 14, V:111, I:0
GaAs 15, V:111, I:0

Direction: UP
Pixel: 3
GaAs 0, V:112, I:0
GaAs 1, V:111, I:0
GaAs 2, V:112, I:0
GaAs 3, V:112, I:0
GaAs 4, V:111, I:0
GaAs 5, V:111, I:0
GaAs 6, V:111, I:0
GaAs 7, V:111, I:0
GaAs 8, V:111, I:28
GaAs 9, V:111, I:32
GaAs 10, V:111, I:41
GaAs 11, V:111, I:53
GaAs 12, V:111, I:58
GaAs 13, V:111, I:84
GaAs 14, V:110, I:188
GaAs 15, V:17, I:255

Direction: DOWN
Pixel: 4
GaAs 0, V:8, I:255
GaAs 1, V:100, I:187
GaAs 2, V:110, I:84
GaAs 3, V:111, I:58
GaAs 4, V:111, I:53
GaAs 5, V:111, I:41
GaAs 6, V:111, I:31
GaAs 7, V:111, I:27
GaAs 8, V:111, I:0
GaAs 9, V:112, I:0
GaAs 10, V:111, I:0
GaAs 11, V:111, I:0
GaAs 12, V:111, I:0
GaAs 13, V:111, I:0
GaAs 14, V:111, I:0
GaAs 15, V:111, I:0

Direction: UP
Pixel: 4
GaAs 0, V:112, I:0
GaAs 1, V:111, I:0
GaAs 2, V:112, I:0
GaAs 3, V:111, I:0
GaAs 4, V:111, I:0
GaAs 5, V:112, I:0
GaAs 6, V:111, I:0
GaAs 7, V:111, I:0
GaAs 8, V:111, I:28
GaAs 9, V:111, I:33
GaAs 10, V:111, I:42
GaAs 11, V:111, I:52
GaAs 12, V:111, I:58
GaAs 13, V:111, I:84
GaAs 14, V:110, I:188
GaAs 15, V:17, I:255

Direction: DOWN
Pixel: 5
GaAs 0, V:8, I:255
GaAs 1, V:100, I:187
GaAs 2, V:110, I:84
GaAs 3, V:111, I:58
GaAs 4, V:111, I:53
GaAs 5, V:111, I:41
GaAs 6, V:112, I:31
GaAs 7, V:111, I:27
GaAs 8, V:111, I:0
GaAs 9, V:111, I:0
GaAs 10, V:111, I:0
GaAs 11, V:111, I:0
GaAs 12, V:111, I:0
